x,y,z,z_ft,magnitude,lon,lat,year,month,day
596224.0793824878,3679832.965511945,-6421.419110400001,-21067.648,2.26,-115.9669999988232,33.253200001091095,1981.0,1.0,1.0
596134.4096290662,3679762.223236312,-4634.3319048,-15204.501,1.7,-115.96797000059716,33.25257000078445,1981.0,1.0,4.0
631113.5777601325,3659222.282854524,-9183.553896000001,-30129.77,2.03,-115.59550000101498,33.063670000494724,1981.0,1.0,7.0
643296.6401536339,3630503.7042201334,-3773.2898880000002,-12379.56,1.58,-115.46949999908868,32.80317000093355,1981.0,1.0,10.0
629486.604178315,3664826.322731875,-8499.5205168,-27885.566,2.17,-115.61212999933332,33.11439999955926,1981.0,1.0,11.0
636944.0604056908,3644541.6897670506,-9010.5454536,-29562.157,2.18,-115.53524999971616,32.93056999977724,1981.0,1.0,11.0
637087.8868330398,3643816.2172359535,-9248.557068,-30343.035,2.09,-115.53382000086049,32.92400999868104,1981.0,1.0,13.0
629996.3801603357,3665019.3871900304,-7812.4869912,-25631.519,1.6,-115.60664000037208,33.11608000099302,1981.0,1.0,15.0
596372.5208824805,3677353.9919449952,-6823.438728,-22386.61,1.37,-115.96567000062356,33.23083000132583,1981.0,1.0,16.0
636904.6232722302,3654624.9189116084,-2103.208392,-6900.29,1.37,-115.53417000147984,33.02150000058052,1981.0,1.0,19.0
632448.186596121,3656783.898669117,-8717.5311552,-28600.824,1.2,-115.58156000006305,33.041519999839174,1981.0,1.0,20.0
622562.1187709467,3636046.815029708,-3973.299648,-13035.76,1.78,-115.69017000017772,32.855670000970356,1981.0,1.0,20.0
626446.8655660232,3679454.5746880868,-4403.320632,-14446.59,2.23,-115.6426699984839,33.24666999905734,1981.0,1.0,21.0
626311.6875009481,3680321.1332808705,-5623.380168000001,-18449.41,1.78,-115.64399999891181,33.254500000891746,1981.0,1.0,21.0
624312.1112520674,3680036.9988698885,-5613.37968,-18416.6,1.53,-115.66549999965314,33.252170000810814,1981.0,1.0,22.0
595759.8028810532,3679676.4768995447,-7503.471912,-24617.69,1.79,-115.97200000162967,33.25182999884815,1981.0,1.0,22.0
596108.5023397454,3679838.476202498,-6667.431115200001,-21874.774,2.09,-115.96824000070079,33.25325999913825,1981.0,1.0,23.0
629886.4428850837,3665005.728192308,-8770.5337416,-28774.717,2.89,-115.60781999918028,33.115969998974656,1981.0,1.0,23.0
630351.6361043385,3663850.8439779365,-8293.510464,-27209.68,1.79,-115.60299999847078,33.105500000931855,1981.0,1.0,24.0
629886.5015748157,3665001.293414603,-8596.5252504,-28203.823,2.29,-115.6078200012515,33.11593000116713,1981.0,1.0,24.0
596376.6763351216,3679852.21648233,-6088.40286,-19975.075,2.39,-115.9653600015006,33.253359999031616,1981.0,1.0,25.0
596176.5706066001,3679832.4958369723,-6450.4205256,-21162.797,2.6,-115.96751000038503,33.253200000547594,1981.0,1.0,27.0
595203.3965511987,3679412.6628954313,-6103.403592000001,-20024.29,1.55,-115.97800000035855,33.249500001046464,1981.0,1.0,27.0
646968.8191830595,3626028.4668500265,-13853.781792000002,-45452.04,1.73,-115.43100000063612,32.762330000162635,1981.0,1.0,28.0
647223.4149754542,3625352.4412264377,-10260.6064536,-33663.407,1.3,-115.42838999847879,32.75620000070765,1981.0,1.0,28.0
647215.9528427687,3625350.1123515577,-10277.6072832,-33719.184,1.73,-115.42846999977576,32.756179999359986,1981.0,1.0,28.0
596546.0034353613,3679687.5706603294,-5666.3822664,-18590.493,1.47,-115.96356000096922,33.25185999955861,1981.0,1.0,29.0
640957.8815708226,3639443.812285332,-8936.5418424,-29319.363,1.0,-115.49311000057112,32.884090001312096,1981.0,2.0,2.0
623023.2732637655,3632456.4960791315,-10506.618458400002,-34470.533,1.2,-115.68571999937483,32.823239998679426,1981.0,2.0,2.0
628886.3457043782,3664557.794235934,-8552.5231032,-28059.459,2.13,-115.61860000059417,33.112049999466784,1981.0,2.0,3.0
597139.67783599,3676770.6082863887,-12033.692976000002,-39480.62,2.15,-115.95749999874269,33.22550000083017,1981.0,2.0,4.0
596398.1753454588,3679468.775315846,-4624.331416800001,-15171.691,1.14,-115.96516999855801,33.24990000022363,1981.0,2.0,6.0
596744.9123123138,3678984.33128059,-3943.298184,-12937.33,2.44,-115.96150000095201,33.245500000135195,1981.0,2.0,6.0
594828.7819313512,3677986.390032756,-4793.339664,-15726.18,1.91,-115.98217000077754,33.23666999974858,1981.0,2.0,7.0
596448.2935081294,3679488.121890688,-5897.3935392,-19348.404,2.05,-115.96463000104467,33.25007000040186,1981.0,2.0,7.0
595926.8135417064,3680029.619390001,-7657.4794272,-25122.964,2.17,-115.97016999846532,33.254999999373105,1981.0,2.0,7.0
596283.4210346309,3680144.024050887,-5643.381144,-18515.03,1.66,-115.96633000031694,33.25600000084959,1981.0,2.0,13.0
639762.2993215094,3626571.884505519,-3333.2684160000003,-10935.92,0.98,-115.50782999875995,32.768170000015964,1981.0,2.0,20.0
626292.8338130106,3643568.8270132504,-4478.324292,-14692.665,1.62,-115.64928000005759,32.92307999978237,1981.0,2.0,20.0
595715.9511018735,3679398.8395538894,-5853.391392,-19204.04,1.59,-115.97249999888834,33.249330000085884,1981.0,2.0,22.0
595125.349387171,3679486.190719081,-11023.643688,-36166.81,2.49,-115.97883000101126,33.25016999927061,1981.0,2.0,22.0
632358.1767349918,3660060.744721042,-9155.5525296,-30037.902,1.81,-115.5820500003607,33.07108000037507,1981.0,2.0,23.0
632334.3991461229,3660023.828184746,-9208.555116,-30211.795,1.87,-115.58231000094595,33.07075000119044,1981.0,2.0,23.0
629857.2692882954,3662421.492950873,-6553.425552000001,-21500.74,1.38,-115.60850000111063,33.09267000125225,1981.0,2.0,24.0
639048.5772355013,3657205.7101881043,-11443.664184000001,-37544.83,1.01,-115.51083000154881,33.0445000005719,1981.0,2.0,25.0
635986.9638674471,3655721.129933024,-6523.424088000001,-21402.31,1.13,-115.54382999864981,33.031499999342294,1981.0,2.0,25.0
636784.1749087146,3655491.5626282827,-6913.443120000001,-22681.9,1.62,-115.53532999883004,33.02932999980555,1981.0,2.0,25.0
647289.8317483313,3625423.292868379,-12963.73836,-42531.95,2.03,-115.42767000051641,32.756830000049774,1981.0,2.0,25.0
647818.3232634699,3624543.972918843,-12493.715424,-40989.88,1.36,-115.42217000004692,32.748829999625144,1981.0,2.0,25.0
647042.4995998377,3624218.603232009,-15203.847672,-49881.39,2.26,-115.43049999981152,32.745999999006166,1981.0,2.0,25.0
648002.6682954779,3624750.7738414146,-9783.583176,-32098.37,2.22,-115.42017000144398,32.750670000367734,1981.0,2.0,25.0
647600.7672768084,3624616.144087893,-10488.61758,-34411.475,1.8,-115.42448000023508,32.7495100006431,1981.0,2.0,25.0
629908.9771982065,3664362.836833669,-10433.614896,-34231.02,2.6,-115.6076700006564,33.110170000639314,1981.0,2.0,27.0
631786.2335578323,3660099.6118914536,-9443.566584,-30982.83,2.58,-115.5881699985732,33.07149999912931,1981.0,2.0,28.0
632171.0242803341,3660437.4805970043,-10613.62368,-34821.6,1.96,-115.58400000108674,33.074499998935885,1981.0,2.0,28.0
632881.6655137159,3659670.8229356,-8453.518272,-27734.64,1.89,-115.57650000151483,33.06749999904312,1981.0,2.0,28.0
632287.4723415088,3659903.42755539,-7933.492896000001,-26028.52,0.94,-115.5828299989703,33.06967000113804,1981.0,2.0,28.0
637608.8885934321,3645485.803975531,-7043.449464,-23108.43,2.31,-115.52800000020783,32.93899999902976,1981.0,3.0,3.0
646825.5110612968,3632532.732762537,-4993.349424,-16382.38,1.64,-115.43150000064652,32.8209999992191,1981.0,3.0,7.0
631967.4516613204,3659400.084414607,-8973.543648,-29440.76,2.01,-115.58632999962813,33.0651700002329,1981.0,3.0,8.0
618932.8050621825,3688138.1432593376,-3383.270856,-11099.97,1.3,-115.72217000088759,33.325830000377465,1981.0,3.0,8.0
618670.2763420079,3686767.614685512,-3483.275736,-11428.07,1.42,-115.72517000029652,33.31350000035491,1981.0,3.0,8.0
636228.4089286394,3646113.1300938404,-11413.66272,-37446.4,1.75,-115.54267000109061,32.94482999992068,1981.0,3.0,8.0
631949.3415010272,3659566.183364136,-8783.534376,-28817.37,2.24,-115.58650000101532,33.06667000100774,1981.0,3.0,8.0
631976.6705954364,3659824.93699229,-10163.60172,-33345.15,2.97,-115.58616999847102,33.0690000000797,1981.0,3.0,8.0
632235.6505321466,3659107.608744722,-8963.543160000001,-29407.95,2.5,-115.58350000000186,33.062499998689916,1981.0,3.0,8.0
631919.5436710464,3660600.434419772,-10953.640272,-35937.14,3.53,-115.5866699994931,33.07599999988569,1981.0,3.0,8.0
632437.4496628512,3660274.735003191,-8963.543160000001,-29407.95,2.09,-115.58117000050429,33.072999999176105,1981.0,3.0,8.0
629999.6414760473,3663439.1775583443,-6523.424088000001,-21402.31,1.66,-115.6068300005641,33.10182999899971,1981.0,3.0,9.0
630051.206737258,3663070.583096546,-6563.42604,-21533.55,1.46,-115.60633000034329,33.098500000563355,1981.0,3.0,9.0
647366.3226063547,3624500.651874268,-14623.819368000002,-47978.41,1.99,-115.42700000131173,32.74850000008715,1981.0,3.0,10.0
640761.1988311512,3675509.9391696826,-2403.2230320000003,-7884.59,1.26,-115.4896700004383,33.20932999945464,1981.0,3.0,12.0
636190.4182490094,3675704.5112948176,-6003.398712,-19696.19,2.38,-115.53866999864661,33.21166999953122,1981.0,3.0,12.0
636363.2173184205,3675613.7712782593,-5263.3626,-17268.25,2.33,-115.53682999884985,33.21082999991423,1981.0,3.0,12.0
636517.674001618,3675634.786490237,-5513.3748000000005,-18088.5,1.85,-115.53516999987751,33.2110000004115,1981.0,3.0,12.0
636063.6235471455,3675905.687520415,-6693.432384000001,-21960.08,1.72,-115.540000000816,33.21350000042178,1981.0,3.0,12.0
636306.9714177786,3675169.3842118653,-5893.393344,-19335.28,1.97,-115.53749999975787,33.20682999918926,1981.0,3.0,12.0
636132.4622557649,3676516.599470965,-4463.323560000001,-14643.45,3.25,-115.53917000052233,33.21900000091885,1981.0,3.0,12.0
636297.574255809,3674707.909134822,-5883.392856,-19302.47,1.81,-115.53766999837794,33.20267000132404,1981.0,3.0,12.0
636309.2970162975,3675003.0667743157,-5613.37968,-18416.6,1.36,-115.53749999839367,33.205329999763485,1981.0,3.0,12.0
636345.5576951863,3675743.2772548436,-5713.38456,-18744.7,2.36,-115.5369999986269,33.21199999874395,1981.0,3.0,12.0
632355.1212770191,3670975.1215059576,-4003.3011120000006,-13134.19,1.73,-115.5804999997335,33.16949999948418,1981.0,3.0,13.0
636480.4412918058,3676096.7189036477,-2283.217176,-7490.87,1.51,-115.53550000143235,33.215169999103004,1981.0,3.0,13.0
638309.7313654306,3639987.4350467254,-13103.745192,-42991.29,0.7,-115.52133000143111,32.88932999967669,1981.0,3.0,13.0
